Name,h1,h2,N1,N2,vocabulary,length,volume,difficulty,effort,time,bugs,MI,CC,CCL,CCO,CEE,CI,LDC,LLDC,CLLC,CLC,NCR,CR,CEG,TLLOC,TLOC,TNCL,TNFI,TNM,TNOS,TNPKG,TCLOC,TNDI,WarningBlocker,WarningCritical,WarningMajor,WarningMinor,WarningInfo
Gluonts,3.7386468952734013,18.341983317886932,14.163113994439296,25.89156626506024,22.080630213160333,40.054680259499534,233.89946073335204,2.58581401956891,1664.0390775075236,92.44661541708437,0.07796648691111731,79.0433922719718,2.3622723546492335,135,1034,7374.951171875,355,8426,6863,0.05070445314049721,0.049440812319517136,0.21764609217643738,0.2187310755252838,2.4555459022521973,135353,170426,1278,1075,6011,33617,270,38685,273,0,3502,1795,5525,0
Google Flax,4.27355623100304,22.221884498480243,16.86018237082067,30.778115501519757,26.49544072948328,47.638297872340424,294.7382476641164,2.8891433138086677,2552.325243398654,141.7958468554809,0.09824608255470546,74.79765483415626,3.05339996773345,45,263,3062.9091796875,108,2977,2324,0.04605536907911301,0.04510195925831795,0.4508417546749115,0.227261021733284,2.830408811569214,50461,66006,901,312,3357,18421,72,16349,75,0,608,25353,4465,0
Google JAX,5.659722222222222,67.99305555555556,51.477777777777774,92.88472222222222,73.65277777777777,144.3625,1182.8697372828785,3.8073988820134934,13878.318108528465,771.0176726960264,0.3942899124276253,69.6309545060283,2.665839627825697,120,719,849.0208129882812,271,7028,5605,0.025895485654473305,0.025431333109736443,0.11649305373430252,0.032873522490262985,0.48743849992752075,216447,276352,1046,693,18517,97037,129,44438,132,0,3553,126862,26099,0
GPT-Engineer,2.116279069767442,9.581395348837209,5.965116279069767,11.209302325581396,11.69767441860465,17.174418604651162,86.88124367663399,1.238763307159137,394.6695320072985,21.926085111516596,0.028960414558877986,82.51776536979206,2.959659755983273,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,7742,9769,43,86,286,1778,27,2771,30,0,14,82,288,0
GPTDiscord,4.642857142857143,35.357142857142854,24.69047619047619,44.476190476190474,40.0,69.16666666666667,469.69747819467784,2.847792435117849,3795.4234994656804,210.85686108142676,0.15656582606489267,59.569914180952914,3.2697332407561555,12,115,206.75,29,695,583,0.04615993797779083,0.046225473284721375,0.3333333432674408,0.19334916770458221,3.6249475479125977,12630,15035,80,42,558,4404,8,973,11,0,49,168,662,0
Gradio,1.4181438998957248,9.211678832116789,6.020855057351408,11.494264859228362,10.629822732012514,17.51511991657977,116.45307724479063,0.8930579056416135,871.2395772647465,48.40219873693039,0.03881769241493025,85.9168776229571,3.1280430116659588,91,4423,612906.375,312,2279,2056,0.03472151979804039,0.033424753695726395,0.07985348254442215,1.8067090511322021,13.475343704223633,59214,68183,399,959,2391,16154,529,5559,532,0,3737,758,3777,0
Gymnasium,4.785714285714286,28.714285714285715,22.517006802721088,41.98979591836735,33.5,64.50680272108843,425.7225146430648,3.2541671586704357,4402.240372672005,244.56890959288893,0.14190750488102155,68.4142709769064,2.9853182723213156,61,343,2389.066650390625,149,3118,2482,0.06696886569261551,0.06735359877347946,0.2043715864419937,0.1690644472837448,2.173097610473633,37062,46293,248,293,1690,12530,64,11486,67,0,1303,560,3238,0
Horovod,4.394409937888199,37.37888198757764,25.695652173913043,48.807453416149066,41.77329192546584,74.5031055900621,619.8463830665265,2.7474442546673012,6749.678064864822,374.98211471471245,0.20661546102217546,76.27496791000947,3.0555600316557694,123,1200,1607.370361328125,271,6574,5438,0.1182996854186058,0.10618125647306442,0.2336946725845337,0.40337562561035156,5.458619594573975,45968,61913,369,320,2869,24817,97,10685,100,0,2142,1850,3757,0
ImageAI,3.4263565891472867,20.8062015503876,14.782945736434108,28.527131782945737,24.232558139534884,43.310077519379846,271.37427310936584,2.257996391704885,2009.5520984822779,111.64178324901549,0.09045809103645529,80.35316726770772,2.6843129933983536,12,80,589.1000366210938,31,882,747,0.08528371155261993,0.073243647813797,0.2083333432674408,0.14933212101459503,2.3407163619995117,8759,12042,37,129,473,4280,39,2777,42,0,275,155,1612,0
imbalanced-learn,3.0783132530120483,20.126506024096386,15.319277108433734,24.662650602409638,23.204819277108435,39.98192771084337,238.14973643345309,1.9383869191567809,1240.2249644875117,68.90138691597286,0.07938324547781772,77.60206055628223,2.8465594370051726,24,88,111.11111450195312,53,1648,1230,0.05088953301310539,0.05359349772334099,0.25462964177131653,0.05260423943400383,1.1166906356811523,24170,30750,97,171,894,6343,52,9775,55,0,184,602,1713,0
